Gene	Vector-1	Vector-2	Vector-3	CEP120-1	CEP120-2	CEP120-3
PLPBP	588	756	744	743	685	845
OGFR	1283	1501	1410	1616	1559	1739
CHMP1B-AS1	0	0	0	0	0	0
PTCH2	50	14	21	30	44	61
PTCH1	486	367	479	533	628	613
AOAH-IT1	0	0	0	0	0	2
TIMM44	5313	4964	4760	5569	5483	6055
RAD9B	83	64	106	79	66	81
RAD9A	864	892	1055	966	957	1221
ERGIC2	2431	2055	2123	2671	2516	2738
ERGIC3	8714	9148	8394	9249	9281	11133
ERGIC1	17214	16581	15996	19334	20385	20987
MIR3165	0	0	0	0	0	0
MIR3164	0	0	0	0	0	0
MIR3167	0	0	0	0	0	0
MIR3166	0	0	0	0	0	0
MIR3161	0	0	0	0	0	0
MIR3163	0	0	0	4	0	0
MIR3162	0	0	0	0	3	0
B3GAT3	781	1049	749	926	965	1185
B3GAT2	21	30	29	21	40	26
B3GAT1	1	0	0	7	10	0
MIR3169	0	0	0	0	0	0
MIR3168	0	0	0	1	0	0
CALM2	11145	10986	11001	11440	11339	13710
CALM3	1375	1399	1335	1574	1571	1624
SPG21	3235	3714	3466	3410	3742	4153
SPG20	3657	3925	3677	3957	3853	4770
GSDMA	0	0	0	0	0	0
GSDMB	134	109	136	119	164	157
GSDMC	6	1	5	7	1	4
GSDMD	402	412	332	427	526	441
UPK1A	2	0	2	11	11	4
UPK1B	0	1	0	0	0	0
DLGAP3	0	0	0	0	6	0
DLGAP1	0	1	5	1	0	1
DLGAP4	1617	1655	1618	1747	2139	1988
DLGAP5	1519	1441	1603	1619	1741	1837
MIR7973-1	0	0	0	0	0	0
MIR7973-2	0	0	0	0	0	0
FBXL14	733	679	574	820	850	650
OIP5	327	355	299	341	369	397
FAM169A	71	73	50	77	89	120
INO80B-WBP1	0	0	0	0	0	0
MIR506	0	0	0	0	0	0
PTPN18	464	533	452	580	715	569
LRRFIP2	2594	2778	2578	2722	3043	3239
PTPN13	0	1	0	0	0	0
PTPN12	15990	34206	37241	17928	20527	44874
PTPN11	12966	12176	12574	14740	15532	15234
PTPN14	2688	2802	2747	3362	4064	3431
LYAR	1928	1824	1991	1897	1692	2197
LOC145694	29	33	25	31	52	32
MIR548AG1	0	0	0	0	0	0
C2orf81	0	0	0	0	0	0
C2orf80	0	0	0	0	0	0
C2orf83	0	0	0	0	2	1
C2orf82	42	26	47	78	106	46
SNORA84	0	1	0	0	0	0
C2orf88	1	6	4	0	4	1
MSMP	0	0	0	0	0	0
MZB1	0	0	1	6	0	5
TRAPPC6B	382	284	365	402	370	368
HLA-DQB1	0	0	0	0	0	0
MSMB	0	2	1	0	0	0
HLA-DQB2	0	0	0	0	0	0
LOC100129027	0	0	0	0	0	0
ATP2B1-AS1	160	145	176	205	150	204
CDK7	3317	3709	3405	3431	3512	4577
MIR4313	0	0	0	0	0	0
FOXS1	0	1	4	1	1	6
LOC643733	11	6	5	20	13	19
MIR4312	2	0	0	0	1	0
CAMKK2	970	1020	786	1108	1270	979
CAMKK1	433	485	349	545	563	508
MYDGF	9502	11073	8520	10289	10312	12882
CHMP3	698	818	692	780	884	937
RPL36AL	3263	3534	3264	3025	3192	4069
CHMP7	1220	1350	1232	1592	1438	1590
CHMP6	124	200	154	123	172	167
CHMP5	3098	3419	3249	3247	3406	4100
OR52N4	0	0	0	0	0	0
OR52N5	1	0	0	0	0	0
OR52N2	0	0	0	0	0	0
OR52N1	0	0	0	0	0	0
LY6G6C	0	0	0	0	0	0
HOXA13	36	18	17	27	54	8
HOXA11	398	423	344	361	338	523
HOXA10	64	92	99	169	105	123
GALNTL5	0	0	1	0	0	2
GALNTL6	261	324	266	343	380	321
LINC02018	4	2	7	6	6	3
LINC02010	0	0	0	0	0	0
LINC02011	0	0	0	0	0	1
LINC02012	0	0	0	0	0	0
MIR1297	0	0	0	0	0	0
LINC02015	5	9	2	5	4	0
LINC02016	0	0	0	0	0	0
TDH	0	0	0	0	0	1
KRTAP11-1	0	0	0	0	0	0
TDG	2348	2302	2465	2549	2515	2800
SCAMP1-AS1	275	244	302	287	274	278
HN1	2510	2746	2556	2642	2366	3182
GOLGA8IP	0	0	0	0	0	0
LRRC27	58	75	47	60	87	54
LRRC26	15	20	2	15	7	20
LRRC25	1	1	1	1	0	1
LRRC24	0	0	0	0	0	0
LRRC23	84	108	64	71	113	90
MPDU1	2269	2211	2033	2299	2292	2459
LRRC20	322	333	225	291	350	356
LRRC29	26	22	25	34	40	16
LRRC28	223	219	251	249	244	334
GCNT4	0	0	0	0	0	0
GCNT7	0	0	1	0	18	1
GCNT1	39	40	34	45	86	40
GCNT3	21	17	8	16	18	35
GCNT2	1478	1362	1470	1547	1524	1729
LPCAT4	823	875	861	970	837	1070
LPCAT2	464	430	532	515	457	623
LPCAT3	215	193	225	321	330	291
LPCAT1	1447	1422	1063	1756	2235	1708
TAGLN	72	91	50	78	106	57
CCDC178	0	0	0	0	0	0
DLEC1	4	0	2	4	5	2
ALPP	135	110	192	167	129	270
MIR513B	0	0	0	0	0	0
MIR513C	0	0	0	0	0	0
CCDC170	0	0	0	2	0	0
CCDC171	84	137	103	66	81	76
CCDC172	0	0	0	0	0	0
CCDC173	12	12	9	8	13	9
CCDC174	1393	1314	1278	1439	1795	1544
CCDC175	0	0	0	0	0	0
CCDC177	0	0	5	4	1	0
PDK1	1974	2146	1525	2350	3698	2113
PDK3	924	1015	956	1212	1557	1147
PDK2	220	318	234	352	294	349
EBP	697	823	778	740	714	941
PDK4	4880	4381	4281	5775	6372	5036
LNPEP	1786	1929	1931	2003	2452	2179
ALPI	72	67	71	101	138	106
SEC61A1	19366	20902	19649	22306	22598	25001
SEC61A2	281	268	230	328	348	364
ALPL	220	273	287	317	241	392
PECR	283	441	254	354	388	350
MIR193A	3	1	2	0	0	1
MIR193B	1	0	0	0	0	0
LINC01091	1	0	0	0	0	1
LINC01090	0	0	2	0	0	0
LINC01095	0	0	0	0	0	0
LINC01097	0	0	0	0	0	0
LINC01099	0	0	0	0	0	0
LINC01098	0	0	0	0	0	0
CTAGE11P	1	0	0	1	0	5
D21S2088E	0	0	0	0	0	0
DDIT3	6729	7618	6968	7026	7394	8498
DDIT4	12817	13830	10286	14264	18463	13091
DOCK9-AS1	0	0	0	0	0	0
RIIAD1	0	2	0	0	0	0
OR5R1	0	0	0	0	0	0
GOLGA8R	0	0	0	0	0	0
GOLGA8M	0	0	0	0	0	0
GOLGA8O	0	0	0	1	2	0
GOLGA8N	0	0	0	0	0	0
GOLGA8H	1	0	0	1	0	0
GOLGA8K	0	0	0	0	0	0
GOLGA8J	0	0	0	0	0	0
GOLGA8G	0	0	0	0	0	0
GOLGA8F	0	0	0	0	0	0
GOLGA8A	1501	1349	1322	1619	1657	1449
GOLGA8B	357	347	368	323	357	397
CT45A9	0	0	0	0	0	0
CT45A8	0	0	0	0	0	0
EPHB1	0	0	0	0	0	0
CT45A1	0	0	0	0	0	0
PTPMT1	129	122	101	144	119	139
CT45A2	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0
CT45A7	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0
FTCDNL1	19	9	13	30	21	23
VMO1	9	5	1	2	6	4
OGFR-AS1	3	0	2	4	7	0
LOC105371397	1050	1016	919	1296	1430	1282
MIR639	2661	2497	2644	2642	2860	3348
MIR638	0	0	0	0	0	0
MIR635	12	9	5	5	4	13
MIR634	0	0	0	0	0	1
MIR637	4256	4098	3854	4494	4204	5126
MIR636	4013	4011	3998	4033	4199	4789
MIR631	2365	2271	2167	2810	2840	2958
MIR630	3255	3251	3230	3565	3816	3781
MIR633	0	0	0	0	0	0
MIR632	5627	5801	5567	6222	6258	7083
LINC00320	0	0	0	0	0	0
NPC1	5989	5319	5745	6885	6662	7401
GATA3-AS1	0	0	0	5	0	0
LINC00324	19	30	29	23	26	14
LINC00327	2	0	1	4	1	1
C3orf58	873	1027	779	956	1097	1062
RAB3GAP2	3210	2967	2912	3542	3438	3597
BHLHA15	19	40	29	12	18	24
RAB3GAP1	3205	3133	2870	3418	3519	3617
C3orf52	251	231	320	257	344	288
DAG1	7466	6101	6199	8319	9472	7805
ETHE1	499	594	525	585	691	752
SGSM3	34	16	28	30	21	31
KDM1A	5222	4750	5182	5765	5126	6457
KDM1B	918	1135	1009	1165	1262	1214
SLC36A2	0	0	0	0	1	0
OR1S1	0	0	0	0	0	0
OR1S2	0	0	0	0	0	0
MIR2355	0	4	0	1	0	0
HIST1H3H	86	149	111	130	92	128
FCER1G	1	3	0	2	1	0
BTG4	0	0	0	0	0	0
BTG3	1864	2199	1999	1933	1787	2411
BTG2	201	175	199	205	168	298
BTG1	6836	7016	6678	7024	7290	8154
SRD5A3	482	624	488	610	704	648
SRD5A2	0	0	0	0	0	1
SRD5A1	2224	2158	2247	2223	2453	2891
ARMT1	2220	2550	2286	2240	2449	2733
EIF1AX-AS1	3	0	1	1	0	4
GGA1	1004	961	824	1182	1173	1150
GGA3	1055	925	915	1123	1151	1170
GGA2	1355	1328	1326	1589	1708	1558
LOC101929726	0	0	1	0	0	0
FHOD1	655	617	622	702	798	740
FHOD3	10	8	3	0	3	6
GJC2	66	56	42	57	47	68
C4orf3	985	1131	1012	1132	1368	1426
GJC1	1114	1287	1124	1556	1599	1526
PSMB9	78	82	52	49	66	34
PSMB8	758	768	546	694	792	773
PSMB7	6726	7326	6727	7157	7186	8616
PSMB6	4042	4488	3884	4346	3897	5051
PSMB5	3749	4037	3506	3951	3669	4903
PSMB4	6836	7437	6706	7252	6933	8644
PSMB3	4667	4764	4877	4864	4479	6209
PSMB2	5530	5958	5588	6049	5894	7206
PSMB1	6737	7233	6810	7076	6990	8276
LMBR1L	268	209	323	244	275	316
PNMA1	1628	1560	1518	1645	1849	1814
TDGF1	0	0	0	0	0	0
MEIS1-AS2	0	0	0	0	0	0
PNMA3	0	0	0	0	0	0
SNORD115-17	0	0	0	0	0	0
PNMA5	0	0	0	0	0	0
LTN1	1941	1872	1790	1950	1878	2331
TRIML2	463	387	508	469	466	565
C9orf142	1760	1977	1581	1792	1934	2237
TRIML1	0	0	0	0	0	0
NACC2	2155	2095	1938	2592	2529	2508
VPS13D	1799	1410	1629	1983	2384	1876
NACC1	3332	3249	3160	4128	3714	4120
VPS13A	3964	2871	3820	4106	4371	4143
SH3KBP1	2019	1888	1897	2047	2336	2258
VPS13C	1960	1922	2078	2515	2826	2356
VPS13B	1421	955	1196	1450	1510	1596
BEX5	0	0	0	0	0	0
BEX4	0	0	0	0	0	0
BEX3	2616	3122	2490	2874	2846	3582
BEX2	0	0	0	0	0	0
BEX1	0	0	0	0	0	0
TMEM160	862	852	743	942	862	1045
TMEM163	0	0	4	0	5	1
TMEM165	4295	4252	4391	4795	4432	5491
TMEM164	736	709	701	836	940	807
EVI2A	3	1	1	1	5	0
TMEM168	673	643	580	814	799	671
EVI2B	10	12	10	10	16	19
FOXN1	0	0	0	0	0	0
FOXN2	2225	1928	2169	2484	2377	2591
FOXN3	1459	1318	1357	1677	2093	1752
NICN1	0	0	0	0	0	0
COL14A1	8	35	13	22	6	18
IFFO1	180	308	183	282	276	322
TAP2	48	52	44	48	39	34
SNAP91	0	0	0	0	0	0
IFNA6	0	0	0	0	0	0
MACROD2	3	9	12	16	12	13
MACROD1	1199	1363	1193	1294	1151	1812
KRR1	1725	1650	1652	1720	1887	1784
STRN	2115	1887	1891	2501	2628	2357
LINC01215	0	0	0	0	0	0
LINC01213	0	0	0	0	0	0
C8orf49	0	0	0	1	0	0
C8orf48	1	0	1	0	2	1
C8orf46	0	0	0	0	0	0
TP53I3	523	731	615	625	615	864
MB	41	57	46	69	60	57
SLC18A3	0	0	0	0	0	0
SLC18A2	10	1	5	7	21	26
SLC18A1	0	0	0	0	0	0
RALBP1	1197	1170	1191	1487	1483	1546
B3GALT5-AS1	0	0	0	0	0	0
ZNF831	0	0	0	0	0	0
ZNF830	532	476	467	575	600	532
ZNF835	0	0	0	0	0	0
ZNF837	23	29	36	61	25	49
ZNF836	2	3	2	2	3	6
ZNF839	245	296	228	295	378	339
LRIF1	1326	1239	1426	1368	1375	1602
OXCT2P1	0	0	0	1	0	0
PHAX	2048	2091	1936	2124	2201	2427
CLYBL-AS2	0	0	0	0	0	0
TUNAR	0	0	0	0	0	0
SUGCT	5	0	7	7	5	10
TSPY8	0	0	0	0	0	0
MIR4773-2	0	0	0	0	0	0
MIR4773-1	0	0	0	0	0	0
SBSPON	11	8	15	17	22	32
ZPBP	0	0	0	0	0	0
TSPY2	0	0	0	0	0	0
TSPY1	0	0	0	0	0	0
MED4-AS1	0	0	1	4	0	1
RAB33A	23	9	23	8	18	25
SLC17A9	2	0	0	0	4	0
RAB33B	749	777	693	886	1032	873
SLC17A4	0	0	0	0	0	0
SLC17A5	801	996	899	999	885	1226
SLC17A6	0	0	0	0	0	0
SLC17A7	5	1	0	2	6	3
SLC17A1	0	0	0	0	0	0
SLC17A2	0	0	0	0	0	0
SLC17A3	0	0	0	0	0	0
C16orf58	436	617	394	533	749	698
C16orf59	524	608	470	654	618	597
C16orf52	825	686	767	944	897	890
C16orf54	0	0	0	0	0	0
ITCH	5463	4855	5281	6146	6121	6480
CHMP4A	7	9	10	7	7	8
CHMP4B	3508	3732	3710	3725	3680	4795
CHMP4C	507	556	438	560	517	581
COBLL1	82	85	68	95	95	74
TMEM255B	1	1	1	3	1	0
TMEM255A	4	0	4	0	0	1
ST5	473	367	473	582	630	499
TMEM173	471	607	530	594	546	679
ZNF304	247	280	258	251	255	362
STH	0	0	0	0	0	0
ZNF302	433	388	338	400	485	439
ZNF300	1352	1474	1253	1645	1614	1639
STS	1101	904	1054	1185	1162	1313
HOXB13	44	36	40	56	31	52
MIR4531	0	0	0	0	0	0
TP53TG1	0	0	3	4	0	0
FBXO17	616	712	481	616	756	674
PPP3CA	1804	1794	1715	2181	2013	2231
PPP3CB	1627	1893	1556	1820	1934	1837
PPP3CC	470	595	520	532	608	759
LIF	354	285	300	413	355	338
RPL12	50853	56291	50892	53529	53707	68644
IQCJ-SCHIP1	294	230	215	271	282	303
GACAT2	4	9	10	7	3	12
NPY6R	1	0	0	1	0	0
GACAT1	0	0	0	0	0	0
RPL18	23906	25880	21946	24714	23219	30717
ADRA2A	2	0	2	9	1	0
ADRA2B	11	8	2	11	4	15
RPL19	54841	59538	54920	55807	55426	70465
TEX26	0	0	0	0	0	0
TEX22	3	9	14	4	20	7
TEX28	0	0	0	0	0	0
TEX29	4	1	0	4	0	0
SYT8	1	0	1	1	4	0
SYT9	0	0	0	0	0	0
LINC01251	0	0	0	0	0	0
LINC01250	0	0	0	0	0	0
LINC01257	0	0	0	0	0	0
MTCH2	4919	5352	4997	5111	5418	6213
MTCH1	7140	7064	6364	7840	7652	8679
LINC01254	0	0	0	0	0	0
SYT1	8	0	1	1	2	13
SYT2	0	1	2	6	5	1
SYT3	0	0	0	0	0	0
SYT4	0	0	0	0	0	0
SYT5	0	0	0	5	0	0
SYT6	0	0	0	0	0	0
SYT7	25	29	16	41	52	43
TIAL1	4458	4663	4782	4879	4369	5699
FUBP3	3703	3879	3451	4276	4390	4603
FUBP1	4384	3656	4197	4689	4933	5179
SCHIP1	25	14	30	16	25	8
MARCO	0	0	0	0	0	0
SAP30	2231	2225	1826	2221	2623	2859
NBL1	1092	1060	811	1195	997	1353
C3orf67-AS1	0	0	0	0	1	0
HSFX2	0	0	0	0	0	0
HSFX1	0	0	0	0	0	0
DRC7	0	1	4	0	0	0
DRC3	33	36	29	84	80	85
DRC1	1	0	1	6	0	6
C1orf53	156	171	203	151	198	176
C1orf52	961	1004	967	1030	969	1264
C1orf50	42	50	37	42	66	56
C1orf56	182	176	149	191	188	192
C1orf54	26	30	18	23	22	36
1-Mar	2609	2435	2485	2578	2673	2906
2-Mar	395	415	344	429	506	538
APCDD1L-AS1	53	37	41	30	46	29
SMPD4	3511	3035	3103	3799	3870	4066
SMPD1	221	311	230	324	379	278
SMPD3	20	20	11	14	29	29
SMPD2	449	518	414	520	432	560
BRIP1	1386	1135	1380	1420	1438	1588
PDE11A	0	1	0	4	0	1
TTC28	480	417	429	556	704	534
TTC29	0	0	4	1	1	1
TTC24	14	15	14	23	22	13
TTC25	19	6	16	14	10	29
TTC26	425	525	437	551	697	582
TTC27	1688	1726	1605	1696	1782	2011
PATL2	2	9	3	1	5	0
TTC22	0	1	0	0	0	4
TTC23	432	372	423	468	525	585
ENO1	140918	139524	132649	147682	152332	171348
ENO2	1881	1886	1434	1867	2913	1969
ENO3	503	482	536	530	572	643
ENO4	2	6	1	2	8	1
PCSK6-AS1	0	0	0	0	0	0
CBX3P2	42	33	36	24	23	23
CFD	729	922	596	754	748	1073
OBSCN	1335	1023	1181	1586	1970	1373
MCL1	14247	12540	12583	15952	16259	14854
SORBS1	212	143	217	243	192	199
SORBS3	1209	1450	1218	1278	1400	1671
SORBS2	1840	1750	1598	2081	2218	1872
ODC1	6973	7656	6410	7559	8621	8438
IL18RAP	0	0	0	0	0	1
EOMES	0	2	0	5	0	4
BCDIN3D-AS1	4	18	20	7	20	21
MIR873	0	0	0	0	0	0
KCTD21-AS1	33	28	26	48	32	51
MIR877	0	0	0	0	0	0
MIR876	0	0	0	0	0	0
MIR875	0	0	0	0	1	0
MIR874	0	0	0	0	0	1
CGB1	0	0	0	0	0	0
CGB2	0	0	0	0	0	0
LOC105374836	2415	2365	2141	2817	2881	2767
MIR3672	0	0	0	0	0	0
FKBP14	987	1102	1009	1129	1117	1403
FKBP15	1764	1776	1821	2052	2173	1948
UBE2J1	4513	5011	4902	4902	5112	6334
FKBP10	6514	7047	5864	7396	7951	8113
FKBP11	518	606	490	541	614	568
FBXO10	100	134	130	119	71	100
FBXO11	1799	1683	1733	1944	2284	2156
FBXO16	0	1	3	6	4	6
TACO1	1615	1963	1474	1720	1808	1926
FBXO15	0	1	3	0	1	9
MIR1321	0	0	0	0	0	0
AGAP1-IT1	14	4	1	5	2	12
SFTA3	0	0	0	0	0	0
SFTA2	0	0	0	0	0	0
MIRLET7F1	0	0	0	0	0	0
SNORD48	0	0	0	0	0	0
CNGB1	136	125	128	192	177	206
SNORD90	0	0	0	0	0	0
CNGB3	1	1	0	0	0	0
SNORD46	0	0	2	0	7	5
PLA2G6	150	162	147	157	215	207
PLA2G7	0	0	0	0	0	0
PLA2G5	0	0	0	0	0	0
PLA2G3	50	67	51	63	49	65
GDPGP1	42	29	16	33	22	24
CCDC77	1648	1413	1533	1628	1694	1865
KRTAP1-3	0	0	0	0	0	0
KRTAP1-4	0	0	0	0	0	0
KRTAP1-5	0	0	0	0	0	0
CCDC70	0	0	0	0	0	0
CCDC71	344	413	364	500	579	435
LOC101928535	0	0	0	0	0	0
CCDC78	94	122	89	79	123	102
HIST3H2BB	58	48	47	61	25	61
SNORD4B	0	0	0	0	0	0
SNORD4A	0	0	0	0	0	0
GHITM	17540	19260	17169	17963	18883	22789
CNTLN	796	774	863	921	900	1031
LOC100506585	0	0	0	0	0	0
CSHL1	0	0	0	0	0	0
MIR8071-2	0	0	0	0	0	0
FKBP1B	0	3	0	3	3	0
LINC02192	0	0	0	0	0	0
MIR8071-1	0	0	0	0	0	0
LINC02229	0	0	0	0	0	0
LINC02227	0	0	1	0	0	0
LINC02226	0	0	0	0	0	0
LINC02225	0	0	0	0	0	0
MAP10	0	0	0	0	0	0
ELFN1-AS1	157	203	177	199	186	204
LGALS9C	0	0	0	2	0	0
LGALS9B	0	1	0	0	1	2
UNC50	817	907	915	980	922	1037
NKAIN4	1	7	9	4	7	11
NKAIN3	0	0	0	0	0	0
NKAIN2	1	0	0	1	0	0
NKAIN1	5	10	10	11	21	1
EMP3	1761	2228	1930	1804	1924	2442
MAP1A	40	26	19	37	61	32
MAP1B	11284	8265	9916	12609	12511	11633
IGSF9B	15	30	17	11	37	18
RMI2	366	282	249	338	372	367
UNC5B	1373	1220	947	1576	1812	1245
UNC5C	0	0	0	0	0	0
VGF	121	121	144	154	161	178
UNC5A	0	0	0	0	0	0
UNC5D	0	0	0	0	0	0
MAP1S	641	601	532	683	720	710
CCP110	948	1063	1103	1061	1201	1285
LOC101927839	4	0	0	0	0	0
ANKRD19P	7	5	17	9	4	9
LOC101927837	15	21	25	30	23	23
LOC105375014	14	1	3	1	4	10
RPL18A	30895	33861	30043	32388	30719	42604
CLEC18A	8	2	1	6	0	1
CLEC18C	0	0	0	0	0	0
CLEC18B	6	3	0	0	1	0
BORCS7	506	580	512	474	451	574
BORCS6	351	454	369	358	372	491
BORCS5	271	349	234	299	276	282
BORCS8	0	0	0	0	0	0
SDR42E1	0	0	0	0	0	0
LINC01759	10	14	5	1	6	3
LINC01752	0	5	0	1	0	0
LINC01753	0	0	0	0	0	0
LINC01751	0	0	0	0	0	0
ALOX12B	4	0	5	4	8	0
LINC01755	0	0	0	0	0	0
EPB41L1	4147	4152	4161	4986	5374	5351
PPCDC	665	761	739	836	767	1016
EPB41L3	0	0	0	0	0	0
EPB41L2	4141	3620	4160	4692	4869	5063
EPB41L5	974	840	889	925	969	1113
ACSS3	0	0	0	0	0	0
ACSS2	1660	1477	1381	1616	1702	1776
ACSS1	0	0	0	0	0	0
KIDINS220	2990	2942	3092	3223	3752	3641
PUDP	618	620	591	561	743	699
PCOLCE2	806	964	774	979	950	1112
DFNA5	1001	1113	855	1019	1059	1109
MAGEH1	0	0	0	0	0	0
WNT2	0	0	0	0	0	0
WNT1	10	1	1	4	10	4
LRRN4	1	0	0	0	0	3
AGXT	0	0	0	1	1	0
WNT6	279	155	194	231	223	261
LRRN1	0	1	0	0	1	0
WNT4	8	15	12	6	3	1
LAMA5-AS1	8	11	9	17	16	15
HOXA11-AS	62	61	73	59	51	88
RNF175	0	0	0	0	0	0
LOC105375903	1	1	0	12	1	1
PCNA	4590	4410	4470	4603	4470	5308
ZBTB7A	2161	1898	1774	2556	2656	2298
ZBTB7C	8	0	2	9	1	0
ZBTB7B	2618	2687	2230	2973	2826	3118
PCNP	6239	7271	6397	7038	6694	8117
PCNT	3069	2455	2756	3378	3675	3561
UTY	0	0	0	0	0	0
LOC442497	0	0	0	0	0	0
PCAT1	10	8	12	11	17	10
PACRG	1	0	0	0	0	0
PCAT4	0	0	0	0	0	0
PCAT7	25	50	26	21	59	41
PCAT6	0	0	0	0	0	0
DNPH1	1482	1993	1423	1634	1807	2010
MIR409	0	0	0	0	0	0
ILF3	22146	19457	20127	24001	24903	25646
